                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7281,                 5.0005,                 4.2466,                0.00018,                0.01282,                  9e-05,                  1e-05,                 4.1742,                 4.3316,                 4.0023,                0.07075,                0.00325,                0.00325
                      1,                 4.0296,                 3.9959,                 3.8642,                0.00018,                0.01282,                  9e-05,                  1e-05,                 4.0753,                 4.3893,                 3.9458,               0.040717,              0.0065507,              0.0065507
                      2,                  3.329,                 3.4009,                 3.4329,                0.55507,                0.08333,                0.02269,                0.00569,                 3.8368,                 4.1452,                 3.6429,               0.010652,              0.0098185,              0.0098185
                      3,                 3.0369,                 3.0343,                 3.0914,                0.55178,                0.12821,                0.03243,                0.00704,                  3.476,                 4.5327,                 3.6671,              0.0098515,              0.0098515,              0.0098515
                      4,                 2.6989,                 2.8558,                 2.8375,                0.50586,                0.15385,                0.00354,                0.00119,                 3.0604,                    inf,                 3.7232,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.5203,                 2.4694,                 2.6214,                0.56967,                0.10897,                 0.0459,                0.01503,                 3.4263,                 30.565,                 4.6659,               0.009802,               0.009802,               0.009802
                      6,                 2.3562,                 2.2913,                 2.4945,                 0.1678,                0.16838,                 0.1684,                 0.0388,                 2.7646,                 3.3386,                 3.2055,              0.0097525,              0.0097525,              0.0097525
                      7,                  2.203,                  2.089,                 2.3241,                0.14411,                0.24463,                0.14719,                0.03482,                 2.8234,                 3.2943,                 3.1483,               0.009703,               0.009703,               0.009703
                      8,                  2.099,                 1.9249,                 2.1802,                0.29917,                0.30769,                0.32786,                0.10182,                 2.9218,                 3.5083,                 2.9762,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0251,                 1.7943,                 2.1256,                0.27867,                0.22549,                0.21496,                0.05893,                 2.7849,                  3.174,                 3.1012,               0.009604,               0.009604,               0.009604
                     10,                 1.9613,                 1.6689,                 2.0622,                0.34025,                0.30128,                0.35901,                0.12374,                 2.6072,                 2.9682,                 2.9206,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8315,                 1.5384,                  1.957,                0.79798,                0.29312,                0.30275,                0.08329,                 2.8294,                  3.507,                 3.1552,               0.009505,               0.009505,               0.009505
                     12,                 1.7476,                 1.5211,                 1.9193,                0.34828,                 0.2649,                0.32245,                0.09304,                 2.8157,                 3.4069,                 3.0536,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6863,                 1.3916,                  1.837,                0.35145,                0.16682,                0.19179,                0.04754,                 3.1407,                 3.6939,                  3.255,               0.009406,               0.009406,               0.009406
                     14,                 1.5989,                 1.2922,                 1.7574,                0.89624,                 0.3141,                0.35832,                0.10837,                 2.8546,                  3.175,                  3.152,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6366,                  1.288,                 1.7899,                0.27983,                 0.3141,                0.31615,                0.10019,                  2.723,                 2.9375,                 3.0196,               0.009307,               0.009307,               0.009307
                     16,                 1.5338,                 1.2262,                 1.7094,                0.33164,                0.32051,                 0.3676,                0.14216,                 2.6931,                 3.5149,                 2.9855,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4807,                 1.1462,                 1.6434,                0.37951,                0.37821,                0.42505,                0.15952,                 2.6084,                 3.1248,                 2.9332,               0.009208,               0.009208,               0.009208
                     18,                 1.5189,                  1.208,                 1.6674,                0.39028,                0.34615,                0.39247,                0.14761,                 2.5333,                 3.5669,                   2.92,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4443,                 1.1163,                 1.6078,                0.35382,                0.30769,                0.33599,                0.12246,                 2.4482,                 3.7243,                 2.8483,               0.009109,               0.009109,               0.009109
                     20,                 1.3839,                 1.0499,                 1.5559,                0.38166,                0.24359,                0.30977,                0.12568,                 2.8407,                 3.8179,                  3.096,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.392,                 1.0698,                 1.5532,                0.37289,                0.37179,                0.39981,                0.15149,                 2.9007,                  3.184,                 2.9124,                0.00901,                0.00901,                0.00901
                     22,                 1.3378,                 1.0531,                 1.5442,                0.41139,                0.42308,                0.45443,                0.18201,                 2.7472,                  3.576,                 2.9742,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.3234,                0.99566,                 1.5096,                0.36993,                0.39103,                 0.3948,                0.14019,                 2.6995,                 3.4766,                 2.9775,               0.008911,               0.008911,               0.008911
                     24,                 1.3245,                0.95602,                 1.4978,                0.32189,                0.32051,                0.32639,                0.12756,                 2.7794,                 3.5845,                 3.2123,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.2558,                0.93787,                 1.4727,                0.41359,                 0.4359,                0.45088,                0.20165,                 2.4386,                 3.5216,                 2.7725,               0.008812,               0.008812,               0.008812
                     26,                  1.281,                0.94307,                   1.46,                0.27539,                 0.3141,                0.32217,                0.11502,                  2.803,                 4.1283,                 3.2524,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.2455,                0.89959,                 1.4534,                0.38976,                0.37179,                 0.4229,                0.17225,                 2.7429,                 3.8214,                 3.0811,               0.008713,               0.008713,               0.008713
                     28,                 1.2263,                 0.9322,                 1.4235,                0.42791,                0.38049,                0.43124,                0.19245,                 2.8444,                 4.0275,                 3.0122,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.216,                0.88725,                 1.4062,                0.33303,                0.39103,                0.39964,                0.17837,                 2.5691,                 3.7334,                 2.9181,               0.008614,               0.008614,               0.008614
                     30,                 1.1983,                0.88074,                 1.3969,                 0.2918,                0.33333,                0.33297,                0.14047,                 2.8118,                 3.7084,                 3.0625,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.1645,                0.85828,                 1.3632,                 0.3287,                0.36538,                0.38872,                0.16654,                 2.4761,                 3.5925,                  2.739,               0.008515,               0.008515,               0.008515
                     32,                 1.1695,                0.87417,                 1.3836,                0.34857,                0.28846,                0.33202,                0.14034,                 2.7838,                  3.729,                 3.0095,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.1491,                0.82844,                 1.3664,                0.39679,                0.24351,                0.26501,                0.10549,                 2.7338,                 4.1898,                 2.9538,               0.008416,               0.008416,               0.008416
                     34,                 1.1336,                0.81731,                 1.3438,                0.34346,                0.29535,                0.31357,                0.11255,                 2.7445,                 4.3384,                 3.1265,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.1427,                0.80871,                 1.3308,                0.38821,                0.26716,                 0.3358,                 0.1593,                 2.6879,                 4.3214,                 2.9655,               0.008317,               0.008317,               0.008317
                     36,                 1.1356,                0.79406,                 1.3288,                0.40601,                0.33232,                0.40072,                0.17989,                 2.6726,                 4.0004,                 3.0334,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1159,                0.80363,                 1.3327,                0.33581,                0.28205,                0.26478,                 0.1194,                 2.5817,                 4.4188,                 2.8996,               0.008218,               0.008218,               0.008218
                     38,                 1.1072,                0.79208,                 1.3286,                0.44034,                0.41393,                0.44648,                0.20243,                   2.52,                 3.6806,                 2.8319,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1069,                0.79872,                  1.322,                0.35529,                0.33974,                 0.3437,                 0.1317,                 2.6111,                 4.1508,                   2.95,               0.008119,               0.008119,               0.008119
                     40,                 1.1003,                0.79526,                 1.2989,                0.41611,                 0.4134,                0.44732,                0.22286,                  2.632,                 3.6795,                 2.7375,              0.0080695,              0.0080695,              0.0080695
                     41,                  1.047,                0.75656,                  1.275,                0.35699,                0.36804,                0.39913,                0.18926,                 2.6042,                 3.8558,                 2.9132,                0.00802,                0.00802,                0.00802
                     42,                 1.0703,                0.78824,                 1.2942,                0.39344,                0.37821,                 0.4178,                0.18391,                 2.5067,                 3.9875,                 2.8418,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0362,                0.74991,                 1.2675,                0.39623,                0.39744,                0.44175,                0.22005,                 2.4127,                 3.4015,                 2.6766,               0.007921,               0.007921,               0.007921
                     44,                 1.0612,                0.76025,                 1.2716,                0.52911,                0.43262,                0.44614,                0.20228,                  2.615,                 3.6725,                 2.8482,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0334,                 0.7401,                 1.2639,                0.41041,                0.45513,                0.45902,                0.22517,                 2.5671,                 3.5367,                 2.7481,               0.007822,               0.007822,               0.007822
                     46,                 1.0384,                0.72358,                 1.2587,                0.37595,                0.34973,                0.39481,                0.18548,                 2.5746,                 3.8125,                 2.9794,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0109,                0.71118,                 1.2547,                0.26693,                0.36709,                0.32376,                0.13663,                 2.4978,                 4.1891,                 2.7595,               0.007723,               0.007723,               0.007723
