                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1644,                 3.7643,                   1.75,                0.00764,                0.49504,                0.13796,                0.04944,                 1.5072,                 3.5506,                 1.3007,                 0.0901,                 0.0011,                 0.0011
                      1,                 1.6214,                 2.8177,                 1.2906,                0.01121,                0.92739,                0.42429,                0.20395,                 1.3805,                 3.1142,                 1.1435,               0.079289,              0.0022886,              0.0022886
                      2,                   1.54,                 1.9823,                 1.2019,                0.01113,                0.92513,                0.43934,                0.18626,                 1.3293,                 3.1061,                 1.1074,               0.068465,              0.0034654,              0.0034654
                      3,                 1.4433,                  1.769,                 1.1541,                0.01226,                  0.976,                0.56199,                0.31386,                 1.2581,                 2.8603,                 1.0837,                0.05763,              0.0046302,              0.0046302
                      4,                 1.4977,                 1.5838,                 1.1711,                0.01357,                  0.972,                0.76816,                0.37826,                 1.5815,                 2.7907,                  1.171,               0.046783,              0.0057832,              0.0057832
                      5,                 1.5025,                 1.4682,                 1.2054,                0.87111,                0.06475,                0.79013,                0.41469,                 1.3939,                 2.6959,                 1.1395,               0.035924,              0.0069243,              0.0069243
                      6,                 1.4342,                 1.4301,                 1.1796,                      1,                0.12098,                0.87683,                0.54101,                 1.3016,                 2.5046,                 1.1469,               0.025053,              0.0080535,              0.0080535
                      7,                  1.507,                 1.3935,                 1.2245,                0.97829,                0.71111,                0.93481,                 0.5359,                 1.3804,                 2.0072,                 1.1837,               0.014171,              0.0091708,              0.0091708
                      8,                 1.4655,                 1.4425,                 1.1955,                0.88355,                0.87783,                0.95159,                0.56078,                 1.4091,                 1.5301,                 1.2383,               0.009604,               0.009604,               0.009604
                      9,                 1.4053,                 1.2807,                 1.1703,                0.94248,                0.87139,                0.94317,                0.53092,                   1.47,                 1.6301,                 1.2492,               0.009604,               0.009604,               0.009604
                     10,                 1.4688,                   1.38,                 1.2363,                0.95347,                0.89322,                0.93351,                0.59126,                 1.3193,                 1.5697,                 1.2213,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3212,                 1.2979,                  1.178,                 0.8939,                0.90201,                0.95219,                0.60885,                 1.3327,                  1.306,                 1.2735,               0.009505,               0.009505,               0.009505
                     12,                 1.3047,                 1.2171,                 1.1539,                0.95293,                0.92913,                0.96365,                0.61376,                 1.2746,                 1.2471,                 1.1928,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3706,                 1.1856,                 1.1788,                   0.92,                0.93388,                0.94663,                0.57873,                 1.4191,                 1.2815,                 1.2609,               0.009406,               0.009406,               0.009406
                     14,                 1.3308,                 1.1587,                 1.1513,                0.93515,                0.93313,                0.95235,                0.60484,                 1.2893,                 1.1761,                 1.1889,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2952,                 1.1344,                 1.1568,                0.92682,                0.89365,                0.95056,                0.56902,                 1.3054,                 1.1972,                 1.1985,               0.009307,               0.009307,               0.009307
                     16,                 1.3588,                  1.176,                 1.1999,                0.94148,                0.88552,                0.95304,                0.63209,                 1.2641,                 1.2372,                 1.1644,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.3176,                 1.1196,                 1.1841,                0.92054,                0.93881,                0.94467,                0.60737,                 1.2642,                 1.2621,                 1.1948,               0.009208,               0.009208,               0.009208
                     18,                 1.3074,                  1.069,                 1.1651,                 0.9199,                  0.944,                0.95058,                0.61595,                 1.3136,                 1.1691,                 1.1983,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.2899,                 1.0754,                 1.1607,                0.86642,                0.87393,                0.92497,                0.61525,                  1.243,                 1.2059,                 1.1798,               0.009109,               0.009109,               0.009109
                     20,                 1.2698,                 1.0299,                 1.1552,                 0.9656,                0.89137,                0.94157,                0.58098,                 1.4369,                 1.1452,                 1.2488,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.3048,                 1.0565,                 1.1747,                0.96616,                  0.924,                0.94745,                0.62702,                  1.237,                 1.1471,                 1.1932,                0.00901,                0.00901,                0.00901
                     22,                 1.2302,                  1.017,                 1.1382,                0.95374,                0.92376,                0.95486,                0.58079,                 1.4379,                 1.0533,                 1.2563,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.2721,                 1.0291,                 1.1565,                0.95811,                  0.932,                 0.9496,                0.62888,                 1.2342,                0.98181,                 1.1657,               0.008911,               0.008911,               0.008911
                     24,                 1.2421,                 1.0025,                 1.1249,                0.92726,                0.94113,                0.95863,                 0.6363,                 1.2454,                0.99993,                 1.1966,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1937,                 0.9662,                  1.133,                0.96364,                0.93459,                0.94833,                0.61062,                 1.2593,                0.93248,                 1.1756,               0.008812,               0.008812,               0.008812
                     26,                 1.2285,                0.96294,                 1.1301,                0.95112,                   0.94,                0.96069,                0.64301,                 1.2531,                0.92817,                 1.1745,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1782,                0.96032,                 1.1129,                0.97966,                0.94692,                0.96676,                0.65878,                 1.1864,                0.86297,                 1.1419,               0.008713,               0.008713,               0.008713
                     28,                 1.2171,                0.94248,                 1.1305,                0.92719,                  0.952,                0.95677,                0.63422,                 1.2084,                0.95309,                 1.1666,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.1992,                0.90282,                 1.1286,                0.95351,                   0.94,                0.96155,                0.64633,                 1.2445,                0.93402,                 1.1824,               0.008614,               0.008614,               0.008614
                     30,                 1.1836,                0.88719,                 1.1174,                0.98398,                  0.912,                0.96078,                0.65416,                 1.1989,                0.89768,                 1.1761,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.1632,                0.86512,                 1.1103,                0.98176,                0.92445,                0.96656,                0.66178,                 1.1907,                0.88369,                  1.172,               0.008515,               0.008515,               0.008515
                     32,                 1.1867,                0.92082,                 1.1219,                0.97509,                  0.936,                0.95672,                0.65983,                 1.2019,                0.86528,                 1.1582,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.1867,                0.87485,                  1.102,                0.97394,                 0.9354,                0.97225,                0.64208,                 1.2449,                0.81351,                  1.195,               0.008416,               0.008416,               0.008416
                     34,                  1.174,                0.89818,                 1.1137,                0.94571,                0.94611,                0.97212,                0.65439,                 1.2176,                 0.8135,                 1.1847,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.2033,                0.88097,                 1.1229,                0.95719,                0.89826,                0.96493,                0.60862,                 1.3679,                0.84662,                 1.2655,               0.008317,               0.008317,               0.008317
                     36,                 1.1553,                0.87117,                 1.1097,                0.95119,                 0.9268,                 0.9656,                0.66479,                 1.1695,                0.78422,                  1.159,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1634,                0.82861,                  1.105,                0.93693,                0.94414,                0.96062,                0.62391,                 1.2504,                0.84458,                 1.1904,               0.008218,               0.008218,               0.008218
                     38,                 1.1713,                0.85413,                  1.118,                0.95258,                 0.9415,                0.97225,                0.64988,                  1.255,                0.79632,                 1.2045,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1622,                0.83957,                 1.1229,                0.95537,                  0.936,                0.97586,                0.63101,                 1.2663,                0.77253,                 1.2129,               0.008119,               0.008119,               0.008119
                     40,                 1.1883,                0.82437,                 1.1215,                0.95646,                  0.948,                 0.9826,                0.64804,                 1.2101,                0.79182,                  1.197,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1399,                 0.8268,                 1.1079,                0.96547,                  0.932,                0.97622,                0.65132,                 1.2022,                0.79173,                 1.1926,                0.00802,                0.00802,                0.00802
                     42,                 1.1465,                0.82229,                 1.1145,                0.97713,                 0.9264,                0.97041,                 0.6458,                 1.2013,                0.76453,                 1.2202,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1355,                0.78685,                 1.1045,                 0.9747,                   0.94,                0.97419,                0.63339,                 1.2246,                0.77961,                 1.2143,               0.007921,               0.007921,               0.007921
                     44,                 1.1345,                0.80851,                 1.1037,                0.96646,                  0.944,                0.97464,                 0.6452,                 1.2281,                0.73788,                 1.2002,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1227,                0.79659,                 1.0979,                 0.9661,                  0.944,                0.97522,                0.66043,                 1.1972,                0.74553,                 1.2052,               0.007822,               0.007822,               0.007822
                     46,                 1.1161,                0.78147,                  1.086,                0.97274,                  0.956,                0.97317,                0.65317,                 1.2504,                0.77721,                 1.2093,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1401,                0.80722,                 1.1035,                0.97561,                  0.964,                0.98212,                 0.6903,                 1.1643,                0.70336,                 1.1658,               0.007723,               0.007723,               0.007723
                     48,                 1.1556,                0.78358,                 1.0903,                 0.9565,                  0.952,                0.97523,                0.63423,                 1.2913,                0.74708,                 1.2392,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0961,                0.76339,                 1.0793,                0.95162,                  0.956,                0.98019,                 0.7036,                 1.1549,                0.69014,                 1.1455,               0.007624,               0.007624,               0.007624
